[ 08.07.2017 || 17:17:45 ] => ----------------------------------------------------------
[ 08.07.2017 || 17:18:21 ] => [TRACK] frame no. 60, exec time: 0
[ 08.07.2017 || 17:18:21 ] => [TRACK] frame no. 61, exec time: 1
[ 08.07.2017 || 17:18:21 ] => [TRACK] frame no. 62, exec time: 2
[ 08.07.2017 || 17:18:21 ] => [TRACK] frame no. 63, exec time: 0
[ 08.07.2017 || 17:18:21 ] => [TRACK] frame no. 64, exec time: 1
[ 08.07.2017 || 17:18:21 ] => [TRACK] frame no. 65, exec time: 9
[ 08.07.2017 || 17:18:21 ] => [TRACK] frame no. 66, exec time: 5
[ 08.07.2017 || 17:18:22 ] => [TRACK] frame no. 67, exec time: 1
[ 08.07.2017 || 17:18:22 ] => [TRACK] frame no. 68, exec time: 6
[ 08.07.2017 || 17:18:22 ] => [TRACK] frame no. 69, exec time: 6
[ 08.07.2017 || 17:18:22 ] => [TRACK] frame no. 70, exec time: 6
[ 08.07.2017 || 17:18:22 ] => [TRACK] frame no. 71, exec time: 1
[ 08.07.2017 || 17:18:22 ] => [TRACK] frame no. 72, exec time: 0
[ 08.07.2017 || 17:18:22 ] => [TRACK] frame no. 73, exec time: 0
[ 08.07.2017 || 17:18:22 ] => [TRACK] frame no. 74, exec time: 1
[ 08.07.2017 || 17:18:22 ] => [TRACK] frame no. 75, exec time: 0
[ 08.07.2017 || 17:18:22 ] => [TRACK] frame no. 76, exec time: 1
[ 08.07.2017 || 17:18:22 ] => [TRACK] frame no. 77, exec time: 2
[ 08.07.2017 || 17:18:22 ] => [TRACK] frame no. 78, exec time: 6
[ 08.07.2017 || 17:18:22 ] => [TRACK] frame no. 79, exec time: 0
[ 08.07.2017 || 17:18:22 ] => [TRACK] frame no. 80, exec time: 6
[ 08.07.2017 || 17:18:22 ] => [TRACK] frame no. 81, exec time: 1
[ 08.07.2017 || 17:18:22 ] => [TRACK] frame no. 82, exec time: 1
[ 08.07.2017 || 17:18:22 ] => [TRACK] frame no. 83, exec time: 0
[ 08.07.2017 || 17:18:22 ] => [TRACK] frame no. 84, exec time: 6
[ 08.07.2017 || 17:18:23 ] => [TRACK] frame no. 85, exec time: 6
[ 08.07.2017 || 17:18:23 ] => [TRACK] frame no. 86, exec time: 2
[ 08.07.2017 || 17:18:23 ] => [TRACK] frame no. 87, exec time: 6
[ 08.07.2017 || 17:18:23 ] => [TRACK] frame no. 88, exec time: 6
[ 08.07.2017 || 17:18:23 ] => [TRACK] frame no. 89, exec time: 0
[ 08.07.2017 || 17:18:23 ] => [TRACK] frame no. 90, exec time: 6
[ 08.07.2017 || 17:18:23 ] => [TRACK] frame no. 91, exec time: 6
[ 08.07.2017 || 17:18:23 ] => [TRACK] frame no. 92, exec time: 6
[ 08.07.2017 || 17:18:23 ] => [TRACK] frame no. 93, exec time: 6
[ 08.07.2017 || 17:18:23 ] => [TRACK] frame no. 94, exec time: 6
[ 08.07.2017 || 17:18:23 ] => [TRACK] frame no. 95, exec time: 1
[ 08.07.2017 || 17:18:23 ] => [TRACK] frame no. 96, exec time: 4
[ 08.07.2017 || 17:18:23 ] => [TRACK] frame no. 97, exec time: 6
[ 08.07.2017 || 17:18:23 ] => [TRACK] frame no. 98, exec time: 6
[ 08.07.2017 || 17:18:23 ] => [TRACK] frame no. 99, exec time: 1
[ 08.07.2017 || 17:18:23 ] => [TRACK] frame no. 100, exec time: 6
[ 08.07.2017 || 17:18:23 ] => [TRACK] frame no. 101, exec time: 1
[ 08.07.2017 || 17:18:23 ] => [TRACK] frame no. 102, exec time: 0
[ 08.07.2017 || 17:18:23 ] => [TRACK] frame no. 103, exec time: 0
[ 08.07.2017 || 17:18:24 ] => [TRACK] frame no. 104, exec time: 1
[ 08.07.2017 || 17:18:24 ] => [TRACK] frame no. 105, exec time: 1
[ 08.07.2017 || 17:18:24 ] => [TRACK] frame no. 106, exec time: 6
[ 08.07.2017 || 17:18:24 ] => [TRACK] frame no. 107, exec time: 6
[ 08.07.2017 || 17:18:24 ] => [TRACK] frame no. 108, exec time: 2
[ 08.07.2017 || 17:18:24 ] => [TRACK] frame no. 109, exec time: 6
[ 08.07.2017 || 17:18:24 ] => [TRACK] frame no. 110, exec time: 0
[ 08.07.2017 || 17:18:24 ] => [TRACK] frame no. 111, exec time: 3
[ 08.07.2017 || 17:18:24 ] => [TRACK] frame no. 112, exec time: 0
[ 08.07.2017 || 17:18:24 ] => [TRACK] frame no. 113, exec time: 0
[ 08.07.2017 || 17:18:24 ] => [TRACK] frame no. 114, exec time: 10
[ 08.07.2017 || 17:18:24 ] => [TRACK] frame no. 115, exec time: 6
[ 08.07.2017 || 17:18:24 ] => [TRACK] frame no. 116, exec time: 1
[ 08.07.2017 || 17:18:24 ] => [TRACK] frame no. 117, exec time: 2
[ 08.07.2017 || 17:18:24 ] => [TRACK] frame no. 118, exec time: 2
[ 08.07.2017 || 17:18:24 ] => [TRACK] frame no. 119, exec time: 6
[ 08.07.2017 || 17:18:24 ] => [TRACK] frame no. 120, exec time: 1
[ 08.07.2017 || 17:18:25 ] => [TRACK] frame no. 121, exec time: 3
[ 08.07.2017 || 17:18:25 ] => [TRACK] frame no. 122, exec time: 1
[ 08.07.2017 || 17:18:25 ] => [TRACK] frame no. 123, exec time: 0
[ 08.07.2017 || 17:18:25 ] => [TRACK] frame no. 124, exec time: 2
[ 08.07.2017 || 17:18:25 ] => [TRACK] frame no. 125, exec time: 5
[ 08.07.2017 || 17:18:25 ] => [TRACK] frame no. 126, exec time: 6
[ 08.07.2017 || 17:18:25 ] => [TRACK] frame no. 127, exec time: 5
[ 08.07.2017 || 17:18:25 ] => [TRACK] frame no. 128, exec time: 0
[ 08.07.2017 || 17:18:25 ] => [TRACK] frame no. 129, exec time: 0
[ 08.07.2017 || 17:18:25 ] => [TRACK] frame no. 130, exec time: 0
[ 08.07.2017 || 17:18:25 ] => [TRACK] frame no. 131, exec time: 0
[ 08.07.2017 || 17:18:25 ] => [TRACK] frame no. 132, exec time: 5
[ 08.07.2017 || 17:18:25 ] => [TRACK] frame no. 133, exec time: 4
[ 08.07.2017 || 17:18:25 ] => [TRACK] frame no. 134, exec time: 2
[ 08.07.2017 || 17:18:25 ] => [TRACK] frame no. 135, exec time: 3
[ 08.07.2017 || 17:18:25 ] => [TRACK] frame no. 136, exec time: 6
[ 08.07.2017 || 17:18:25 ] => [TRACK] frame no. 137, exec time: 0
[ 08.07.2017 || 17:18:26 ] => [TRACK] frame no. 138, exec time: 1
[ 08.07.2017 || 17:18:26 ] => [TRACK] frame no. 139, exec time: 6
[ 08.07.2017 || 17:18:26 ] => [TRACK] frame no. 140, exec time: 1
[ 08.07.2017 || 17:18:26 ] => [TRACK] frame no. 141, exec time: 9
[ 08.07.2017 || 17:18:26 ] => [TRACK] frame no. 142, exec time: 1
[ 08.07.2017 || 17:18:26 ] => [TRACK] frame no. 143, exec time: 2
[ 08.07.2017 || 17:18:26 ] => [TRACK] frame no. 144, exec time: 1
[ 08.07.2017 || 17:18:26 ] => [TRACK] frame no. 145, exec time: 0
[ 08.07.2017 || 17:18:26 ] => [TRACK] frame no. 146, exec time: 6
[ 08.07.2017 || 17:18:26 ] => [TRACK] frame no. 147, exec time: 1
[ 08.07.2017 || 17:18:26 ] => [TRACK] frame no. 148, exec time: 2
[ 08.07.2017 || 17:18:26 ] => [TRACK] frame no. 149, exec time: 6
[ 08.07.2017 || 17:18:26 ] => [TRACK] frame no. 150, exec time: 3
[ 08.07.2017 || 17:18:26 ] => [TRACK] frame no. 151, exec time: 1
[ 08.07.2017 || 17:18:26 ] => [TRACK] frame no. 152, exec time: 1
[ 08.07.2017 || 17:18:26 ] => [TRACK] frame no. 153, exec time: 1
[ 08.07.2017 || 17:18:26 ] => [TRACK] frame no. 154, exec time: 4
[ 08.07.2017 || 17:18:26 ] => [TRACK] frame no. 155, exec time: 0
[ 08.07.2017 || 17:18:26 ] => [TRACK] frame no. 156, exec time: 5
[ 08.07.2017 || 17:18:27 ] => [TRACK] frame no. 157, exec time: 1
[ 08.07.2017 || 17:18:27 ] => [TRACK] frame no. 158, exec time: 0
[ 08.07.2017 || 17:18:27 ] => [TRACK] frame no. 159, exec time: 6
[ 08.07.2017 || 17:18:27 ] => [TRACK] frame no. 160, exec time: 6
[ 08.07.2017 || 17:18:27 ] => [TRACK] frame no. 161, exec time: 1
[ 08.07.2017 || 17:18:27 ] => [TRACK] frame no. 162, exec time: 7
[ 08.07.2017 || 17:18:27 ] => [TRACK] frame no. 163, exec time: 6
[ 08.07.2017 || 17:18:27 ] => [TRACK] frame no. 164, exec time: 6
[ 08.07.2017 || 17:18:27 ] => [TRACK] frame no. 165, exec time: 0
[ 08.07.2017 || 17:18:27 ] => [TRACK] frame no. 166, exec time: 0
[ 08.07.2017 || 17:18:27 ] => [TRACK] frame no. 167, exec time: 5
[ 08.07.2017 || 17:18:27 ] => [TRACK] frame no. 168, exec time: 0
[ 08.07.2017 || 17:18:27 ] => [TRACK] frame no. 169, exec time: 0
[ 08.07.2017 || 17:18:27 ] => [TRACK] frame no. 170, exec time: 6
[ 08.07.2017 || 17:18:27 ] => [TRACK] frame no. 171, exec time: 0
[ 08.07.2017 || 17:18:27 ] => [TRACK] frame no. 172, exec time: 0
[ 08.07.2017 || 17:18:27 ] => [TRACK] frame no. 173, exec time: 6
[ 08.07.2017 || 17:18:27 ] => [TRACK] frame no. 174, exec time: 0
[ 08.07.2017 || 17:18:27 ] => [TRACK] frame no. 175, exec time: 1
[ 08.07.2017 || 17:18:27 ] => [TRACK] frame no. 176, exec time: 0
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 177, exec time: 0
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 178, exec time: 1
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 179, exec time: 0
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 180, exec time: 6
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 181, exec time: 0
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 182, exec time: 6
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 183, exec time: 7
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 184, exec time: 0
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 185, exec time: 0
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 186, exec time: 1
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 187, exec time: 0
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 188, exec time: 0
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 189, exec time: 0
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 190, exec time: 1
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 191, exec time: 4
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 192, exec time: 1
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 193, exec time: 5
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 194, exec time: 1
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 195, exec time: 1
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 196, exec time: 0
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 197, exec time: 7
[ 08.07.2017 || 17:18:28 ] => [TRACK] frame no. 198, exec time: 0
[ 08.07.2017 || 17:18:29 ] => [TRACK] frame no. 199, exec time: 0
[ 08.07.2017 || 17:18:29 ] => [TRACK] frame no. 200, exec time: 0
[ 08.07.2017 || 17:18:29 ] => [TRACK] frame no. 201, exec time: 0
[ 08.07.2017 || 17:18:29 ] => [TRACK] frame no. 202, exec time: 3
[ 08.07.2017 || 17:18:29 ] => [TRACK] frame no. 203, exec time: 2
[ 08.07.2017 || 17:18:29 ] => [TRACK] frame no. 204, exec time: 4
[ 08.07.2017 || 17:18:29 ] => [TRACK] frame no. 205, exec time: 6
[ 08.07.2017 || 17:18:29 ] => [TRACK] frame no. 206, exec time: 1
[ 08.07.2017 || 17:18:29 ] => [TRACK] frame no. 207, exec time: 0
[ 08.07.2017 || 17:18:29 ] => [TRACK] frame no. 208, exec time: 0
[ 08.07.2017 || 17:18:29 ] => [TRACK] frame no. 209, exec time: 1
[ 08.07.2017 || 17:18:29 ] => [TRACK] frame no. 210, exec time: 0
[ 08.07.2017 || 17:18:29 ] => [TRACK] frame no. 211, exec time: 0
[ 08.07.2017 || 17:18:29 ] => [TRACK] frame no. 212, exec time: 0
[ 08.07.2017 || 17:18:29 ] => [TRACK] frame no. 213, exec time: 0
[ 08.07.2017 || 17:18:29 ] => [TRACK] frame no. 214, exec time: 0
[ 08.07.2017 || 17:18:29 ] => [TRACK] frame no. 215, exec time: 0
